DATA_YEAR,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,REPORT_DATE_FLAG,INCIDENT_HOUR,CLEARED_EXCEPT_ID,CLEARED_EXCEPT_DATE,INCIDENT_STATUS,DATA_HOME,ORIG_FORMAT,DID
2020,5659,130100923,8530674,,26-OCT-20,15-JUN-20,,14,6,,0,C,F,85580640
2020,5659,130100937,8530674,,26-OCT-20,25-JUN-20,,19,6,,0,C,F,85580664
2020,5659,130100941,8530674,,26-OCT-20,27-JUN-20,,13,6,,0,C,F,85583836
2020,5659,130100954,8523652,,26-OCT-20,01-JUL-20,,11,6,,0,C,F,85580686
2020,5659,130100957,8523652,,26-OCT-20,01-JUL-20,,13,6,,0,C,F,85583857
2020,5659,130106374,8530674,,26-OCT-20,29-JUN-20,,14,6,,0,C,F,85583871
2020,5659,130106389,8523652,,26-OCT-20,02-JUL-20,,22,6,,0,C,F,85580734
2020,5659,130101016,8523652,,26-OCT-20,04-JUL-20,,19,6,,0,C,F,85583912
2020,5659,130101029,8523652,,26-OCT-20,04-JUL-20,,0,6,,0,C,F,85580773
2020,5659,130101068,8523652,,26-OCT-20,03-JUL-20,,16,6,,0,C,F,85580837
2020,5659,130106494,8523652,,26-OCT-20,04-JUL-20,,0,6,,0,C,F,85583983
2020,5659,130101082,8523652,,26-OCT-20,09-JUL-20,,21,6,,0,C,F,85580851
2020,5659,130111119,8523652,,26-OCT-20,12-JUL-20,,19,6,,0,C,F,85584041
2020,5659,130111125,8523652,,26-OCT-20,06-JUL-20,,11,6,,0,C,F,85584054
2020,5659,130111135,8523652,,26-OCT-20,13-JUL-20,,7,6,,0,C,F,85580919
2020,5659,130111144,8523652,,26-OCT-20,13-JUL-20,,17,6,,0,C,F,85584068
2020,5659,130106573,8523652,,26-OCT-20,11-JUL-20,,16,6,,0,C,F,85584095
2020,5659,130111177,8523652,,26-OCT-20,15-JUL-20,,13,6,,0,C,F,85584117
2020,5659,130111185,8523652,,26-OCT-20,15-JUL-20,,2,6,,0,C,F,85584124
2020,5659,130106626,8523652,,26-OCT-20,18-JUL-20,,2,6,,0,C,F,85581011
2020,5659,130106638,8523652,,26-OCT-20,17-JUL-20,,15,6,,0,C,F,85581029
2020,5659,130111246,8523652,,26-OCT-20,19-JUL-20,,16,6,,0,C,F,85581042
2020,5659,130106669,8523652,,26-OCT-20,20-JUL-20,,15,6,,0,C,F,85584223
2020,5659,130106708,8523652,,26-OCT-20,21-JUL-20,,16,6,,0,C,F,85581107
2020,5659,130111321,8523652,,26-OCT-20,24-JUL-20,,0,6,,0,C,F,85584311
2020,5659,130111329,8523652,,26-OCT-20,24-JUL-20,,17,6,,0,C,F,85581161
2020,5659,130106767,8523652,,26-OCT-20,19-JUL-20,,15,6,,0,C,F,85581173
2020,5659,130111348,8523652,,26-OCT-20,26-JUL-20,,19,6,,0,C,F,85584348
2020,5659,130111365,8523652,,26-OCT-20,26-JUL-20,,19,6,,0,C,F,85584368
2020,5659,130111402,8523652,,26-OCT-20,28-JUL-20,,23,6,,0,C,F,85581244
